Rndrng_NPI,specialty,avg_complexity,total_services,total_benes,z
1225158421,Podiatry,5.0,208.0,27.0,5.482273911381237
1821274259,Podiatry,5.0,247.0,231.0,5.482273911381237
1871798868,Dermatology,5.0,114.0,60.0,5.304899093772472
1992837900,Dermatology,5.0,65.0,55.0,5.304899093772472
1467415307,Dermatology,5.0,52.0,42.0,5.304899093772472
1134371057,Podiatry,4.929411764705883,255.0,67.0,5.289872790442257
1407015266,Dermatology,4.953551912568306,732.0,510.0,5.171834774878931
1700896529,Podiatry,4.852664576802508,638.0,151.0,5.080684319870669
1770619355,Dermatology,4.891025641025641,468.0,172.0,4.992709730214549
1447254412,Dermatology,4.877419354838709,310.0,174.0,4.9537304889961185
1538172051,Dermatology,4.851239669421488,121.0,105.0,4.878731017510609
1366450306,Hand Surgery,5.0,86.0,55.0,4.735002799033282
1093830689,Hand Surgery,5.0,167.0,114.0,4.735002799033282
1699933515,Dermatology,4.793893129770993,131.0,68.0,4.714444850707373
1669001152,Podiatry,4.664893617021277,188.0,49.0,4.56888029202996
1548338411,Sports Medicine,5.0,222.0,68.0,4.514905566821361
1821275926,Dermatology,4.628797886393659,757.0,424.0,4.24148057322502
1760506059,Dermatology,4.610271903323262,331.0,170.0,4.188407401531548
1750463774,Orthopedic Surgery,5.0,156.0,88.0,4.161923678227417
1750638946,Orthopedic Surgery,5.0,64.0,44.0,4.161923678227417
1730392721,Orthopedic Surgery,5.0,93.0,84.0,4.161923678227417
1235324666,Orthopedic Surgery,5.0,420.0,157.0,4.161923678227417
1538333893,Orthopedic Surgery,5.0,168.0,138.0,4.161923678227417
1720090608,Orthopedic Surgery,5.0,153.0,112.0,4.161923678227417
1326157488,Orthopedic Surgery,5.0,55.0,37.0,4.161923678227417
1760447379,Orthopedic Surgery,5.0,153.0,92.0,4.161923678227417
1558302133,Orthopedic Surgery,5.0,95.0,67.0,4.161923678227417
1154412310,Orthopedic Surgery,5.0,323.0,238.0,4.161923678227417
1669468096,Orthopedic Surgery,5.0,141.0,138.0,4.161923678227417
1184763435,Orthopedic Surgery,5.0,51.0,35.0,4.161923678227417
1205884822,Orthopedic Surgery,5.0,110.0,84.0,4.161923678227417
1760423370,Orthopedic Surgery,5.0,173.0,45.0,4.161923678227417
1609947878,Orthopedic Surgery,5.0,237.0,177.0,4.161923678227417
1518498179,Orthopedic Surgery,5.0,62.0,54.0,4.161923678227417
1104918879,Orthopedic Surgery,5.0,358.0,249.0,4.161923678227417
1063464147,Orthopedic Surgery,5.0,125.0,76.0,4.161923678227417
1083076053,Orthopedic Surgery,5.0,209.0,176.0,4.161923678227417
1831169556,Orthopedic Surgery,5.0,242.0,175.0,4.161923678227417
1033136866,Orthopedic Surgery,5.0,355.0,242.0,4.161923678227417
1083881247,Orthopedic Surgery,5.0,252.0,202.0,4.161923678227417
1366413270,Orthopedic Surgery,5.0,61.0,40.0,4.161923678227417
1780674507,Orthopedic Surgery,5.0,189.0,77.0,4.161923678227417
1255678587,Orthopedic Surgery,5.0,99.0,77.0,4.161923678227417
1518282920,Orthopedic Surgery,5.0,140.0,87.0,4.161923678227417
1730187881,Otolaryngology,5.0,142.0,59.0,4.148580546959013
1811986219,Otolaryngology,5.0,62.0,54.0,4.148580546959013
1972527414,Otolaryngology,5.0,187.0,164.0,4.148580546959013
1932630027,Otolaryngology,5.0,50.0,50.0,4.148580546959013
1184244709,Otolaryngology,5.0,61.0,49.0,4.148580546959013
1831751437,Otolaryngology,5.0,54.0,44.0,4.148580546959013
1750578183,Otolaryngology,5.0,334.0,244.0,4.148580546959013
1215991898,Otolaryngology,5.0,59.0,51.0,4.148580546959013
1003874934,Otolaryngology,5.0,81.0,55.0,4.148580546959013
1396066205,Otolaryngology,5.0,82.0,78.0,4.148580546959013
1255434825,Otolaryngology,5.0,487.0,224.0,4.148580546959013
1710286398,Dermatology,4.5927927927927925,555.0,352.0,4.138333306639648
1003995572,Hospitalist,5.0,52.0,52.0,4.07482641476897
1114956422,Hospitalist,5.0,319.0,108.0,4.07482641476897
1336503572,Hospitalist,5.0,136.0,91.0,4.07482641476897
1659456465,Hospitalist,5.0,193.0,192.0,4.07482641476897
1235593799,Hospitalist,5.0,342.0,63.0,4.07482641476897
1982691978,Orthopedic Surgery,4.96,275.0,129.0,4.058766485384561
1699893958,Certified Nurse Midwife,5.0,116.0,20.0,4.030868577636676
1467585216,Otolaryngology,4.953959484346225,543.0,388.0,4.030412373378905
1801063573,Podiatry,4.464788732394366,355.0,289.0,4.023457900505867
1568878361,Dermatology,4.550218340611353,229.0,178.0,4.016366164502312
1235175902,Dermatology,4.548611111111111,288.0,201.0,4.011761779034989
1346261682,Orthopedic Surgery,4.931407942238267,277.0,131.0,3.9850295749770326
1255362919,Orthopedic Surgery,4.923976608187134,171.0,102.0,3.9658646859822224
1306027842,Dermatology,4.523255813953488,86.0,76.0,3.9391240121606494
1215255526,Dermatology,4.519117647058824,680.0,329.0,3.927269006072054
1801187653,Orthopedic Surgery,4.906976744186046,430.0,311.0,3.922023229755659
1235264011,Dermatology,4.514851485148514,303.0,245.0,3.915047320309003
1407932205,Dermatology,4.514619883040936,171.0,133.0,3.91438382739889
1316427008,Otolaryngology,4.897260273972603,146.0,126.0,3.88488745824395
1356662373,Dermatology,4.503267973856209,306.0,198.0,3.881862917554574
1558762187,Urology,5.0,119.0,86.0,3.8801073335788065
1225053291,Urology,5.0,430.0,164.0,3.8801073335788065
1952572216,Urology,5.0,60.0,60.0,3.8801073335788065
1023098043,Urology,5.0,60.0,44.0,3.8801073335788065
1942306030,Urology,5.0,66.0,66.0,3.8801073335788065
1417972480,Urology,5.0,400.0,114.0,3.8801073335788065
1972578136,Urology,5.0,76.0,55.0,3.8801073335788065
1780672758,Urology,5.0,158.0,106.0,3.8801073335788065
1114012895,Urology,5.0,66.0,66.0,3.8801073335788065
1437485166,Otolaryngology,4.89,200.0,173.0,3.866253146641417
1932515475,Orthopedic Surgery,4.883720930232558,129.0,123.0,3.8620481176377197
1568743003,Orthopedic Surgery,4.875,144.0,139.0,3.839557450593493
1578533964,Dermatology,4.484848484848484,825.0,461.0,3.829094829680464
1598962409,Sports Medicine,4.76530612244898,98.0,64.0,3.8194232511241046
1366523938,Urology,4.969465648854962,393.0,267.0,3.79936430146216
1528026812,Orthopedic Surgery,4.8533333333333335,600.0,453.0,3.783680637803613
1366531220,Otolaryngology,4.854304635761589,151.0,115.0,3.774636970379416
1841290509,Orthopedic Surgery,4.849557522123894,113.0,60.0,3.7739430856768545
1679512560,Orthopedic Surgery,4.848936170212766,470.0,269.0,3.772340662703866
1669436879,Podiatry,4.372262773722627,137.0,98.0,3.771261509843586
1669568754,Orthopedic Surgery,4.845965770171149,409.0,286.0,3.7646802094560274
1316027915,Infectious Disease,5.0,330.0,215.0,3.7574002395097885
1245226273,Infectious Disease,5.0,92.0,55.0,3.7574002395097885
1649298472,Infectious Disease,5.0,67.0,47.0,3.7574002395097885
1467670307,Infectious Disease,5.0,158.0,24.0,3.7574002395097885
1770500290,Hand Surgery,4.663967611336032,247.0,191.0,3.748124546033313
1114357456,Podiatry,4.359477124183006,153.0,68.0,3.7364118880460415
1205805579,Orthopedic Surgery,4.831973898858075,613.0,258.0,3.728596155274148
1699750489,Orthopedic Surgery,4.8283582089552235,134.0,106.0,3.719271544759938
1518370469,Otolaryngology,4.828478964401294,309.0,217.0,3.708352473501156
1477633550,Orthopedic Surgery,4.817021276595745,470.0,420.0,3.6900343918186094
1174518393,Podiatry,4.340124003542958,1129.0,441.0,3.6836614248945305
1215964846,Sports Medicine,4.71919770773639,349.0,210.0,3.6827874454863108
1952469983,Hand Surgery,4.641148325358851,209.0,179.0,3.681107621952264
1225084809,Hospitalist,4.869158878504673,214.0,99.0,3.6718093610296525
1184971194,Otolaryngology,4.813504823151125,311.0,234.0,3.669919651945258
1982786869,Sports Medicine,4.714285714285714,91.0,78.0,3.668231443363832
1154319739,Orthopedic Surgery,4.808510638297872,141.0,128.0,3.6680860529158736
1487898334,Family Practice,5.0,50.0,43.0,3.6549883076001453
1255431532,Family Practice,5.0,276.0,94.0,3.6549883076001453
1881766822,Family Practice,5.0,90.0,26.0,3.6549883076001453
1891711305,Family Practice,5.0,84.0,48.0,3.6549883076001453
1891730115,Family Practice,5.0,59.0,51.0,3.6549883076001453
1801175484,Family Practice,5.0,132.0,27.0,3.6549883076001453
1497895585,Family Practice,5.0,80.0,17.0,3.6549883076001453
1801044862,Family Practice,5.0,534.0,49.0,3.6549883076001453
1891764155,Family Practice,5.0,80.0,17.0,3.6549883076001453
1902251440,Family Practice,5.0,86.0,48.0,3.6549883076001453
1093965311,Family Practice,5.0,50.0,41.0,3.6549883076001453
1508951708,Family Practice,5.0,223.0,43.0,3.6549883076001453
1912941824,Family Practice,5.0,85.0,38.0,3.6549883076001453
1922006097,Family Practice,5.0,422.0,320.0,3.6549883076001453
1881181691,Family Practice,5.0,57.0,35.0,3.6549883076001453
1841366762,Family Practice,5.0,606.0,604.0,3.6549883076001453
1316488893,Family Practice,5.0,67.0,47.0,3.6549883076001453
1861497901,Family Practice,5.0,82.0,30.0,3.6549883076001453
1457304131,Family Practice,5.0,82.0,28.0,3.6549883076001453
1841604451,Family Practice,5.0,90.0,56.0,3.6549883076001453
1437245602,Family Practice,5.0,123.0,11.0,3.6549883076001453
1073579355,Family Practice,5.0,125.0,32.0,3.6549883076001453
1851749766,Family Practice,5.0,205.0,47.0,3.6549883076001453
1821409731,Family Practice,5.0,57.0,11.0,3.6549883076001453
1467484360,Family Practice,5.0,58.0,34.0,3.6549883076001453
1265426241,Family Practice,5.0,62.0,37.0,3.6549883076001453
1417396516,Family Practice,5.0,52.0,36.0,3.6549883076001453
1063590909,Family Practice,5.0,73.0,15.0,3.6549883076001453
1437124617,Family Practice,5.0,122.0,39.0,3.6549883076001453
1083780407,Family Practice,5.0,254.0,50.0,3.6549883076001453
1811917883,Family Practice,5.0,69.0,12.0,3.6549883076001453
1477895225,Family Practice,5.0,139.0,93.0,3.6549883076001453
1801914353,Family Practice,5.0,100.0,28.0,3.6549883076001453
1356501076,Family Practice,5.0,57.0,39.0,3.6549883076001453
1801252929,Family Practice,5.0,52.0,17.0,3.6549883076001453
1205809233,Family Practice,5.0,98.0,40.0,3.6549883076001453
1770650657,Family Practice,5.0,105.0,49.0,3.6549883076001453
1518222736,Family Practice,5.0,159.0,27.0,3.6549883076001453
1306071485,Family Practice,5.0,132.0,95.0,3.6549883076001453
1679831028,Family Practice,5.0,275.0,61.0,3.6549883076001453
1376651117,Family Practice,5.0,555.0,59.0,3.6549883076001453
1922354240,Family Practice,5.0,136.0,76.0,3.6549883076001453
1215907092,Family Practice,5.0,66.0,47.0,3.6549883076001453
1295878635,Family Practice,5.0,181.0,22.0,3.6549883076001453
1659445963,Family Practice,5.0,156.0,74.0,3.6549883076001453
1295819910,Family Practice,5.0,50.0,24.0,3.6549883076001453
1649376229,Family Practice,5.0,53.0,13.0,3.6549883076001453
1649206889,Family Practice,5.0,68.0,41.0,3.6549883076001453
1578528576,Family Practice,5.0,80.0,75.0,3.6549883076001453
1639192487,Family Practice,5.0,57.0,21.0,3.6549883076001453
1184665697,Family Practice,5.0,69.0,28.0,3.6549883076001453
1629069604,Family Practice,5.0,125.0,36.0,3.6549883076001453
1215159579,Family Practice,5.0,88.0,52.0,3.6549883076001453
1619054277,Family Practice,5.0,79.0,30.0,3.6549883076001453
1609995265,Family Practice,5.0,72.0,12.0,3.6549883076001453
1396807673,Family Practice,5.0,128.0,31.0,3.6549883076001453
1205078896,Family Practice,5.0,140.0,37.0,3.6549883076001453
1205118361,Family Practice,5.0,544.0,15.0,3.6549883076001453
1205832227,Family Practice,5.0,349.0,70.0,3.6549883076001453
1679979025,Family Practice,5.0,106.0,16.0,3.6549883076001453
1215922059,Family Practice,5.0,83.0,13.0,3.6549883076001453
1376554568,Family Practice,5.0,116.0,56.0,3.6549883076001453
1730169178,Family Practice,5.0,61.0,17.0,3.6549883076001453
1770525735,Family Practice,5.0,74.0,24.0,3.6549883076001453
1760550172,Family Practice,5.0,83.0,57.0,3.6549883076001453
1518916683,Family Practice,5.0,219.0,148.0,3.6549883076001453
1518930288,Family Practice,5.0,117.0,18.0,3.6549883076001453
1235322207,Family Practice,5.0,56.0,41.0,3.6549883076001453
1740484427,Family Practice,5.0,50.0,39.0,3.6549883076001453
1235179755,Family Practice,5.0,78.0,28.0,3.6549883076001453
1730261132,Family Practice,5.0,56.0,31.0,3.6549883076001453
1235165507,Family Practice,5.0,135.0,69.0,3.6549883076001453
1720409584,Family Practice,5.0,269.0,87.0,3.6549883076001453
1699734236,Family Practice,5.0,166.0,100.0,3.6549883076001453
1720170285,Family Practice,5.0,211.0,69.0,3.6549883076001453
1225460306,Family Practice,5.0,151.0,48.0,3.6549883076001453
1134285570,Family Practice,5.0,280.0,36.0,3.6549883076001453
